Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352880.1992564,800,0,0,,42.339805,-71.09013666666665,12.5,327820.2316154722,4689621.23545232,19.0,T,0
1646352881.2066178,801,0,0,,42.339846666666666,-71.09004666666667,12.5,327827.7596067239,4689625.679973761,19.0,T,0
1646352882.2017703,802,0,0,,42.339888333333334,-71.08995166666668,12.6,327835.6994912998,4689630.114378893,19.0,T,0
1646352883.2196872,803,0,0,,42.33992833333334,-71.08985833333334,12.6,327843.4975160047,4689634.367096597,19.0,T,0
1646352884.201646,804,0,0,,42.33996666666667,-71.08976333333334,12.6,327851.42828340654,4689638.4313776,19.0,T,0
1646352885.2022047,805,0,0,,42.34000833333332,-71.08966333333333,12.6,327859.7800400695,4689642.85568602,19.0,T,0
1646352886.213948,806,0,0,,42.340050000000005,-71.08956333333334,12.7,327868.13178587874,4689647.280004115,19.0,T,0
1646352887.2069552,807,0,0,,42.34009,-71.08945999999999,12.5,327876.7535742144,4689651.512513321,19.0,T,0
1646352888.2011776,808,0,0,,42.34013,-71.089355,12.3,327885.5126522694,4689655.741659108,19.0,T,0
1646352889.2009797,809,0,0,,42.34017166666666,-71.08925333333333,12.3,327894.0016658988,4689660.162633438,19.0,T,0
1646352890.1998556,810,0,0,,42.34021333333333,-71.08914999999999,12.3,327902.6279688043,4689664.580244346,19.0,T,0
1646352891.1992755,811,0,0,,42.340255,-71.089045,12.3,327911.39156071306,4689668.994492331,19.0,T,0
1646352892.1991022,812,0,0,,42.34029833333334,-71.08893833333335,12.4,327920.2969880109,4689673.590448622,19.0,T,0
1646352893.1980863,813,0,0,,42.34034166666667,-71.08883333333333,12.4,327929.0651032399,4689678.189788823,19.0,T,0
1646352894.2070792,814,0,0,,42.340385,-71.08872833333332,12.5,327937.8332066174,4689682.789139686,19.0,T,0
1646352895.2017283,815,0,0,,42.34042833333333,-71.088625,12.5,327946.4639983031,4689687.391873783,19.0,T,0
1646352896.2001607,816,0,0,,42.34047000000001,-71.08852333333333,12.5,327954.9529328091,4689691.812919899,19.0,T,0
1646352897.2007732,817,0,0,,42.34051333333333,-71.08842166666668,12.5,327963.446401838,4689696.419046724,19.0,T,0
1646352898.1973038,818,0,0,,42.34055166666667,-71.08832000000001,12.2,327971.926223374,4689700.469971395,19.0,T,0
1646352899.1984212,819,0,0,,42.340590000000006,-71.08821833333333,12.2,327980.4060347513,4689704.520906063,19.0,T,0
1646352900.1981533,820,0,0,,42.340628333333335,-71.08811833333333,12.1,327988.748536563,4689708.57522248,19.0,T,0
